Rank,Name,Sport Rank,Birth Year,Region,Category,2025,Total Points
1,Шушаков Роман,,0,Калининградская область,мужчины,1800,1800
2,Синица Пётр,,0,Калининградская область,мужчины,1650,1650
3,Кортелëв Фёдор,,0,Калининградская область,мужчины,1250,1250
4,Крысенков Глеб,,0,Санкт-Петербург,мужчины,800,800
5,Каптелов Пётр,,0,Санкт-Петербург,мужчины,600,600
