Rank,Name,Total Points
1,G. Medina,,0,,мужчины,43314,43314
2,I. Ferreira,,0,,мужчины,34446,34446
3,M. Cibilic,,0,,мужчины,24798,24798
4,F. Toledo,,0,,мужчины,24034,24034
5,C. Coffin,,0,,мужчины,23992,23992
6,J. Smith,,0,,мужчины,21814,21814
7,J. Robinson,,0,,мужчины,21100,21100
8,F. Morais,,0,,мужчины,20148,20148
9,G. Colapinto,,0,,мужчины,20118,20118
10,J. Florence,,0,,мужчины,19314,19314
11,D. Silva,,0,,мужчины,18764,18764
12,K. Igarashi,,0,,мужчины,18628,18628
13,Y. Dora,,0,,мужчины,18628,18628
14,L. Fioravanti,,0,,мужчины,17898,17898
15,R. Callinan,,0,,мужчины,17078,17078
16,J. Flores,,0,,мужчины,14964,14964
17,J. Andre,,0,,мужчины,14400,14400
18,C. Ibelli,,0,,мужчины,14250,14250
19,M. McGillivray,,0,,мужчины,14234,14234
20,E. Ewing,,0,,мужчины,14114,14114
21,S. Moniz,,0,,мужчины,14114,14114
22,M. Pupo,,0,,мужчины,14114,14114
23,J. Wilson,,0,,мужчины,14064,14064
24,A. de,,0,,мужчины,13414,13414
25,P. Crisanto,,0,,мужчины,12000,12000
26,W. Carmichael,,0,,мужчины,11150,11150
27,M. Bourez,,0,,мужчины,11150,11150
28,O. Wright,,0,,мужчины,11100,11100
29,M. Wright,,0,,мужчины,9750,9750
30,C. O'Leary,,0,,мужчины,9750,9750
31,K. Slater,,0,,мужчины,9234,9234
32,J. Freestone,,0,,мужчины,8850,8850
33,A. Ribeiro,,0,,мужчины,8200,8200
34,L. O'Brien,,0,,мужчины,6084,6084
35,M. Herdy,,0,,мужчины,6084,6084
36,A. Buchan,,0,,мужчины,5700,5700
37,K. Andino,,0,,мужчины,4750,4750
38,R. Heazlewood,,0,,мужчины,4050,4050
39,J. Willcox,,0,,мужчины,3200,3200
40,R. Waida,,0,,мужчины,3150,3150
41,S. Kennedy,,0,,мужчины,1600,1600
42,K. Walsh,,0,,мужчины,1600,1600
43,C. Colapinto,,0,,мужчины,1600,1600
44,J. Baker,,0,,мужчины,1600,1600
45,S. Zietz,,0,,мужчины,1600,1600
46,J. Moniz,,0,,мужчины,1600,1600
47,L. Mesinas,,0,,мужчины,1600,1600
48,D. Moffat,,0,,мужчины,1600,1600
49,M. Fanning,,0,,мужчины,1600,1600
50,T. Burrow,,0,,мужчины,900,900
51,M. Banting,,0,,мужчины,900,900
52,M. Tudela,,0,,мужчины,900,900
53,J. Corzo,,0,,мужчины,900,900
54,D. Cadena,,0,,мужчины,900,900
55,C. Cox,,0,,мужчины,900,900
