Rank,Name,Total Points
1,F. Toledo,,0,,мужчины,6096,6096
2,J. Robinson,,0,,мужчины,5320,5320
3,G. Medina,,0,,мужчины,5303,5303
4,G. Colapinto,,0,,мужчины,5245,5245
5,J. Chianca,,0,,мужчины,5211,5211
6,E. Ewing,,0,,мужчины,5210,5210
7,J. Florence,,0,,мужчины,4873,4873
8,Y. Dora,,0,,мужчины,4855,4855
9,L. Fioravanti,,0,,мужчины,4751,4751
10,R. Callinan,,0,,мужчины,4621,4621
11,I. Gentil,,0,,мужчины,4286,4286
12,C. O'Leary,,0,,мужчины,4279,4279
13,B. Mamiya,,0,,мужчины,4274,4274
14,K. Igarashi,,0,,мужчины,4265,4265
15,L. O'Brien,,0,,мужчины,4066,4066
16,J. Smith,,0,,мужчины,4031,4031
17,C. Ibelli,,0,,мужчины,3941,3941
18,M. McGillivray,,0,,мужчины,3861,3861
19,C. Robson,,0,,мужчины,3836,3836
20,R. Waida,,0,,мужчины,3719,3719
21,S. Moniz,,0,,мужчины,3603,3603
22,I. Ferreira,,0,,мужчины,3530,3530
23,K. Slater,,0,,мужчины,3183,3183
24,S. Pupo,,0,,мужчины,2673,2673
25,J. Baker,,0,,мужчины,2135,2135
26,N. Young,,0,,мужчины,1990,1990
27,M. Huscenot,,0,,мужчины,1845,1845
28,J. Marshall,,0,,мужчины,1810,1810
29,M. Rodrigues,,0,,мужчины,1808,1808
30,E. Lau,,0,,мужчины,1775,1775
31,K. Andino,,0,,мужчины,1725,1725
32,C. Munoz,,0,,мужчины,1685,1685
33,M. Pupo,,0,,мужчины,1230,1230
34,J. Andre,,0,,мужчины,833,833
35,K. Vaast,,0,,мужчины,610,610
36,M. Braye,,0,,мужчины,528,528
37,X. Huxtable,,0,,мужчины,462,462
38,J. Duru,,0,,мужчины,450,450
39,B. Perez,,0,,мужчины,400,400
40,J. Willcox,,0,,мужчины,395,395
41,O. Wright,,0,,мужчины,385,385
42,A. Masencamp,,0,,мужчины,385,385
43,D. Moffat,,0,,мужчины,375,375
44,M. Drollet,,0,,мужчины,370,370
45,R. Heazlewood,,0,,мужчины,365,365
46,K. Asing,,0,,мужчины,345,345
47,J. Earle,,0,,мужчины,340,340
48,T. Carrique,,0,,мужчины,335,335
49,M. Cibilic,,0,,мужчины,335,335
50,J. Forrest,,0,,мужчины,330,330
51,E. Hanneman,,0,,мужчины,330,330
52,J. Thomas,,0,,мужчины,320,320
53,I. deVault,,0,,мужчины,315,315
54,F. Morais,,0,,мужчины,310,310
55,J. Moniz,,0,,мужчины,310,310
56,K. Lenny,,0,,мужчины,310,310
