Rank,Name,Total Points
1,J. Florence,,0,,мужчины,48366,48366
2,G. Colapinto,,0,,мужчины,47372,47372
3,J. Robinson,,0,,мужчины,39214,39214
4,I. Ferreira,,0,,мужчины,37710,37710
5,E. Ewing,,0,,мужчины,37482,37482
6,Y. Dora,,0,,мужчины,33614,33614
7,G. Medina,,0,,мужчины,32796,32796
8,J. Smith,,0,,мужчины,31090,31090
9,R. Waida,,0,,мужчины,30880,30880
10,J. Marshall,,0,,мужчины,27854,27854
11,C. Colapinto,,0,,мужчины,26110,26110
12,C. Houshmand,,0,,мужчины,26074,26074
13,B. Mamiya,,0,,мужчины,25414,25414
14,R. Callinan,,0,,мужчины,24294,24294
15,M. McGillivray,,0,,мужчины,23868,23868
16,R. Boukhiam,,0,,мужчины,23722,23722
17,C. O'Leary,,0,,мужчины,23664,23664
18,K. Igarashi,,0,,мужчины,23022,23022
19,S. Moniz,,0,,мужчины,21868,21868
20,L. O'Brien,,0,,мужчины,21788,21788
21,I. deVault,,0,,мужчины,21186,21186
22,L. Fioravanti,,0,,мужчины,19978,19978
23,S. Pupo,,0,,мужчины,13082,13082
24,I. Gentil,,0,,мужчины,11104,11104
25,K. Slater,,0,,мужчины,10768,10768
26,M. Pupo,,0,,мужчины,10108,10108
27,K. Matson,,0,,мужчины,9306,9306
28,J. Willcox,,0,,мужчины,9168,9168
29,F. Morais,,0,,мужчины,8846,8846
30,C. Ibelli,,0,,мужчины,8076,8076
31,G. Pittar,,0,,мужчины,7584,7584
32,C. Robson,,0,,мужчины,7002,7002
33,D. Silva,,0,,мужчины,6692,6692
34,J. Chianca,,0,,мужчины,5574,5574
35,E. Hanneman,,0,,мужчины,5472,5472
36,M. Cibilic,,0,,мужчины,4564,4564
37,J. Duru,,0,,мужчины,3976,3976
38,M. Braye,,0,,мужчины,3084,3084
39,B. Perez,,0,,мужчины,2948,2948
40,S. Crawford,,0,,мужчины,1520,1520
41,T. Gukilau,,0,,мужчины,1480,1480
42,T. Wylie,,0,,мужчины,1460,1460
43,R. Heazlewood,,0,,мужчины,1374,1374
44,J. Bunch,,0,,мужчины,1242,1242
45,B. Sale,,0,,мужчины,1176,1176
46,M. Canhoto,,0,,мужчины,1044,1044
47,K. Lenny,,0,,мужчины,900,900
48,K. Asing,,0,,мужчины,896,896
49,J. Chaves,,0,,мужчины,890,890
50,F. Toledo,,0,,мужчины,890,890
51,M. Mignot,,0,,мужчины,884,884
52,O. North,,0,,мужчины,884,884
