Год,Всего участников,Новые,Доля новых (%),Средний возраст
2017,7,0,0.0,30.3
2018,8,3,37.5,28.0
2019,5,4,80.0,33.0
2021,9,5,55.6,34.0
2022,8,3,37.5,32.0
2023,8,0,0.0,0.0
2024,18,10,55.6,28.3
2025,18,6,33.3,25.8
