Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Морозова Александра,,0,Санкт-Петербург,женщины,5685,10000,15685
2,Смирнова Вероника,,0,Санкт-Петербург,женщины,10000,5685,15685
3,Горба Мария,,0,Санкт-Петербург,женщины,6085,7800,13885
4,Пыжова Алена,,0,Санкт-Петербург,женщины,7800,6085,13885
5,Звидрина Мария,,0,Санкт-Петербург,женщины,4545,4745,9290
