Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
69,Василенко Денис,2 разряд,1983,Краснодарский край,мужчины,0,0,0,0,0,0,100,100
70,Сивый Алексей,3 разряд,1985,Севастополь,мужчины,0,0,0,0,0,0,100,100
71,Блискунов Дмитрий,3 разряд,1995,Калининградская область,мужчины,0,0,0,0,0,0,100,100
72,Носов Антон,1 разряд,1991,Республика Татарстан,мужчины,0,0,0,0,0,0,100,100
73,Михеев Павел,3 разряд,1985,Краснодарский край,мужчины,0,0,0,0,0,0,100,100
74,Пачесов Павел,3 разряд,1986,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
75,Шушаков Роман,2 разряд,1995,Калининградская область,мужчины,0,0,0,0,0,90,0,90
76,Корытко Константин,3 разряд,1988,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
77,Эгле Вячеслав,3 разряд,1994,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
78,Цветков Михаил,3 разряд,1987,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
79,Суннагатулин Марсель,3 разряд,1994,Камчатский край,мужчины,0,0,0,0,81,0,0,81
80,Лещев Алексей,3 разряд,1991,Камчатский край,мужчины,0,0,0,0,81,0,0,81
81,Соловьев Андрей,3 разряд,1985,Приморский край,мужчины,0,0,0,0,81,0,0,81
82,Шеин Николай,3 разряд,1986,Приморский край,мужчины,0,0,0,0,81,0,0,81
83,Костин Евгений,3 разряд,1990,Приморский край,мужчины,0,0,0,0,81,0,0,81
84,Шенн Николай,,1986,Магаданская область,мужчины,0,0,0,73,0,0,0,73
85,Степаненко Ким,,1994,Приморский край,мужчины,0,0,0,73,0,0,0,73
86,Гришин Евгений,3 разряд,1988,Санкт-Петербург,мужчины,0,0,0,73,0,0,0,73
87,Горячев Ярослав,,1997,Москва,мужчины,0,0,0,73,0,0,0,73
88,Александров Антон,,2004,Краснодарский край,мужчины,0,0,59,0,0,0,0,59
89,Тыртышников Роман,,1982,Москва,мужчины,0,0,59,0,0,0,0,59
90,Саркисов Станислав,,1983,Московская область,мужчины,0,0,59,0,0,0,0,59
91,Захаров Сергей,,1987,Краснодарский край,мужчины,0,0,59,0,0,0,0,59
92,Табачник Константин,,1988,Москва,мужчины,0,53,0,0,0,0,0,53
93,Кармалов Кирилл,,1982,Москва,мужчины,0,53,0,0,0,0,0,53
94,Огерь Виктор,,1978,Москва,мужчины,0,53,0,0,0,0,0,53
95,Коновалов Александр,3 разряд,1981,Мурманская область,мужчины,0,0,0,0,0,0,0,0
96,Трофимов Владимир,2 разряд,1985,Краснодарский край,мужчины,0,0,0,0,0,0,0,0
97,Зиповски Алексей,3 разряд,1983,Краснодарский край,мужчины,0,0,0,0,0,0,0,0
98,Гаянов Артур,3 разряд,1992,Краснодарский край,мужчины,0,0,0,0,0,0,0,0
