Rank,Name,Sport Rank,Birth Year,Region,Category,2019,2021,2022,2024,Total Points
1,Федорова Анастасия,КМС,1986,Москва,женщины,5685,5685,10000,10430,31800
2,Наумова Ксения,1,1990,Московская область,женщины,10000,10000,7800,0,27800
3,Белякова Алена,КМС,1984,Самара,женщины,6085,6085,4745,10830,27745
4,Смирнова Юлия,КМС,1989,Москва,женщины,0,4545,5685,12345,22575
5,Попова Екатерина,1,1987,Москва,женщины,0,0,4545,16085,20630
